M,N,p,k,mu,f,speed,demand,facility,ti_c,model,ti_s,status,ObjValue,Gap
100,30,5,5,72,0.006,40,Goldberg_Test_100_30_demand.ins,Goldberg_Test_100_30_facility.ins,0,Goldberg-model_100_30_5.lp,2.73626,Optimal,71601.8,-2.03234e-16
100,30,6,6,72,0.006,40,Goldberg_Test_100_30_demand.ins,Goldberg_Test_100_30_facility.ins,0,Goldberg-model_100_30_6.lp,4.64083,Optimal,86643.9,0
100,30,7,7,72,0.006,40,Goldberg_Test_100_30_demand.ins,Goldberg_Test_100_30_facility.ins,0,Goldberg-model_100_30_7.lp,6.37092,Optimal,80722.8,0
100,30,8,8,72,0.006,40,Goldberg_Test_100_30_demand.ins,Goldberg_Test_100_30_facility.ins,0,Goldberg-model_100_30_8.lp,7.71036,Optimal,70819.8,0
100,30,9,9,72,0.006,40,Goldberg_Test_100_30_demand.ins,Goldberg_Test_100_30_facility.ins,0,Goldberg-model_100_30_9.lp,7.54053,Optimal,62594.6,0
100,30,10,10,72,0.006,40,Goldberg_Test_100_30_demand.ins,Goldberg_Test_100_30_facility.ins,0,Goldberg-model_100_30_10.lp,7.57848,Optimal,55820,0
100,30,11,11,72,0.006,40,Goldberg_Test_100_30_demand.ins,Goldberg_Test_100_30_facility.ins,0,Goldberg-model_100_30_11.lp,9.30133,Optimal,50674.6,0
100,30,12,12,72,0.006,40,Goldberg_Test_100_30_demand.ins,Goldberg_Test_100_30_facility.ins,0,Goldberg-model_100_30_12.lp,9.68308,Optimal,46509.1,0
100,30,13,13,72,0.006,40,Goldberg_Test_100_30_demand.ins,Goldberg_Test_100_30_facility.ins,0,Goldberg-model_100_30_13.lp,11.032,Optimal,43122.4,0
100,30,14,14,72,0.006,40,Goldberg_Test_100_30_demand.ins,Goldberg_Test_100_30_facility.ins,0,Goldberg-model_100_30_14.lp,14.2404,Optimal,40548.9,0
100,30,15,15,72,0.006,40,Goldberg_Test_100_30_demand.ins,Goldberg_Test_100_30_facility.ins,0,Goldberg-model_100_30_15.lp,13.9068,Optimal,38355.5,0
